URL,Content
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-001/markdown,"# Affected Products The following products are affected by the vulnerability : | Product           | Affected Versions                    | Platform | |:-----------------:|:-----------------------------------------:|:--------:| |VMware ESXi | 6.5, 6.7, 7 | Any | |VMware Workstation | 16.x | Any | |VMware Fusion | 12.x  | OS X | |VMware Cloud Foundation (ESXi) |3.x, 4.x|Any| All previous releases of VMware ESXi 6.5 and 6.7 are vulnerable. # Recommendations VMware has released an update and workarounds that fixes the CVE-2021-22045 [2,3,4] and a general workaround [4] showing how to disable CD-ROM/DVD devices on all running virtual machines. The workaround is meant to be a temporary solution until updates documented in [1] can be deployed. CERT-EU strongly recommends patching as per the table below: | Product         | Fixed Version   | Workaround | |:---------------:|:---------------:|:--------------:| |VMware ESXi 6.5 |ESXi650-202111101-SG| 6.5 P07 Build number 18678235 [2] as per [4]| |VMware ESXi 6.7 |ESXi670-202110101-SG| 6.7 P06 Build Number 18828794 [3] as per [4]| |VMware ESXi 7 |Pending|[4]| |VMware Workstation 16.x| 16.2.0       |[5] | |VMware Fusion 12.x | 12.2.0       |[5] | |VMware Cloud Foundation (ESXi) 3.x, 4.x| Pending| [4] There is no requirement to implement the workaround once the recommended upgrade is complete. # References [1] <https://www.vmware.com/security/advisories/VMSA-2022-0001.html> [2] <https://docs.vmware.com/en/VMware-vSphere/6.5/rn/esxi650-202110001.html> [3] <https://docs.vmware.com/en/VMware-vSphere/6.7/rn/esxi670-202111001.html> [4] <https://kb.vmware.com/s/article/87249> [5] <https://kb.vmware.com/s/article/87206>"
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-002/markdown,"# Affected products The vulnerability affects H2 database versions 1.1.100 to 2.0.204 # Recommendations It is recommended to update H2 database to version 2.0.206, released on January 5, 2022 [2]. # References [1] <https://jfrog.com/blog/the-jndi-strikes-back-unauthenticated-rce-in-h2-database-console/> [2] <https://github.com/h2database/h2database/releases/tag/version-2.0.206>"
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-003/markdown,"# Affected Products * Microsoft Server 2022 * Microsoft Windows Server 2019 (unaffected by default) * Microsoft Windows 11 * Microsoft Windows 10 (version 1809, unaffected by default) * Microsoft Exchange Server 2013 * Microsoft Exchange Server 2016 * Microsoft Exchange Server 2019 * Microsoft Office 2013 * Microsoft Office 2016 * Microsoft Office 2019 * Microsoft Word 2013 * Microsoft Excel 2013 * Microsoft Excel 2016 * Microsoft Sharepoint 2013 * Microsoft Sharepoint 2016 * Microsoft Sharepoint 2019 # Recommendations After Microsoft released the first patches, **several issues have been reported regarding the patches for `CVE-2022-21907` vulnerability**. Patching seems to be going without problems for Windows Server 2016 and Windows Server 2012. However, for Windows Server 2012 R2, Windows Server 2019, Windows Server 2022 and Windows 10/11, there are some issues that have been reported: - The Hyper-V service no longer starts so it is no longer possible to launch the virtual machines. - Domain controllers restart in loop. - Issues with VPN connectivity on Windows client Based on these issues, five patches have been identified as troublesome: - Windows Server 2012 R2: KB5009624 - Windows Server 2019: KB5009557 - Windows Server 2022: KB5009555 - Windows 10: KB5009543 - Windows 11: KB5009566 In order to fix these issues, Microsoft released a second set of patches called: **emergency out-of-band (OOB) updates**: >_This update addresses issues related to VPN connectivity, Windows Server Domain Controllers restarting, Virtual Machines start failures, and ReFS-formatted removable media failing to mount._ All OOB updates released are available for download on the Microsoft Update Catalog, and some of them can also be installed directly through Windows Update as optional updates. If you want to install the emergency fixes through Windows Update, you will have to manually check for updates because they are optional updates and will not install automatically. If you cannot immediately install today's out-of-band updates, you can still remove the KB5009624, KB5009557, KB5009555, KB5009566, and KB5009543 updates causing these issues. For that, admins can do a rollback or can issue one of the following commands: - Windows Server 2012 R2: `wusa /uninstall /kb:KB5009624` - Windows Server 2019: `wusa /uninstall /kb:KB5009557` - Windows Server 2022: `wusa /uninstall /kb:KB5009555` - Windows 10: `wusa /uninstall /kb:5009543` - Windows 11: `wusa /uninstall /kb:5009566` **Exception:** On Microsoft Windows Server 2019 and Windows 10 (version 1809), a mitigation is possible for the `CVE-2022-21907` without applying patches: - Delete the `DWORD` registry value `EnableTrailerSupport` if present under: ``` HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\HTTP\Parameters ``` This mitigation only applies to Windows Server 2019 and Windows 10, version 1809 and does not apply to the Windows 20H2 and newer. Regarding the other vulnerabilities, no issues has been reported so they can safely be applied. # References [1] <https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-21907> [2] <https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-21846> [3] <https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-21969> [4] <https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-21855> [5] <https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-21840> [6]	<https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-21841> [7] <https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-21842> [8] <https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-21837> [9] <https://securityonline.info/cve-2022-21907-http-protocol-stack-remote-code-execution-vulnerability/> [10] <https://github.com/antx-code/CVE-2022-21907>"
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-004/markdown,"# Affected Products * GitLab Community Edition (CE) versions prior to 14.6.2, 14.5.3, and 14.4.5 * GitLab Enterprise Edition (EE) versions prior to 14.6.2, 14.5.3, and 14.4.5 # Recommendations CERT-EU recommends updating to the latest versions of GitLab Community Edition (CE) and Enterprise Edition (EE) **as soon as possible** [3, 4]. # References [1] <https://portswigger.net/daily-swig/gitlab-shifts-left-to-patch-high-impact-vulnerabilities> [2] <https://about.gitlab.com/releases/2022/01/11/security-release-gitlab-14-6-2-released/> [3] <https://about.gitlab.com/update/> [4] <https://docs.gitlab.com/runner/install/linux-repository.html#updating-the-runner>"
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-005/markdown,"# Affected products |Product|affected versions|Mitigation / Fix| |---|---|---| |Avalanche|6.3.0, 6.3.1, 6.3.2, and 6.3.3|Available [3]| |Ivanti File Director|2020.3, 2021.1, 2021.3|Available [4]| |MobileIron|See [5]|Available [5]| # Recommendations Ivanti and CERT-EU strongly recommends to apply mitigations or fixes mentioned in the Affected Products section. # References [1] <https://media.cert.europa.eu/static/SecurityAdvisories/2021/CERT-EU-SA2021-067.pdf> [2] <https://forums.ivanti.com/s/article/CVE-2021-44228-Java-logging-library-log4j-Ivanti-Products-Impact-Mapping?language=en_US> [3] <https://forums.ivanti.com/s/article/CVE-2021-44228-Avalanche-Remote-code-injection-Log4j?language=en_US> [4] <https://forums.ivanti.com/s/article/Apache-Log4j-Zero-Day-Vulnerability-and-Ivanti-File-Director-CVE-2021-44228?language=en_US> [5] <https://media.cert.europa.eu/static/SecurityAdvisories/2021/CERT-EU-SA2021-070.pdf>"
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-006/markdown,"# Affected Products The following Oracle Family products are affected. For further details (e.g., affected versions), please consult Oracle’s official page [1, 2]: * Oracle Database Server * Oracle Airlines Data Model * Oracle Big Data Graph * Oracle Communications Data Model * Oracle Essbase * Oracle GoldenGate * Oracle Graph Server and Client * Oracle NoSQL Database * Oracle REST Data Services * Oracle Secure Backup * Oracle Spatial Studio * Oracle TimesTen In-Memory Database * Oracle Commerce * Oracle Communications Applications * Oracle Communications * Oracle Construction and Engineering * Oracle E-Business Suite * Oracle Enterprise Manager * Oracle Financial Services Applications * Oracle Food and Beverage Applications * Oracle Fusion Middleware * Oracle Health Sciences Applications * Oracle HealthCare Applications * Oracle Hospitality Applications * Oracle Hyperion * Oracle iLearning * Oracle Insurance Applications * Oracle Java SE * Oracle JD Edwards * Oracle MySQL * Oracle PeopleSoft * Oracle Policy Automation * Oracle Retail Applications * Oracle Siebel CRM * Oracle Supply Chain * Oracle Support Tools * Oracle Systems * Oracle Utilities Applications * Oracle Virtualization # Recommendations It is recommended to apply the patches for all affected products as soon as possible. # References [1] <https://www.oracle.com/security-alerts/cpujan2022.html> [2] <https://www.oracle.com/security-alerts/cpujan2022verbose.html>"
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-007/markdown,"# Affected Products All versions of Polkit since the first introduction of `pkexec` are vulnerable (since version 0.113 from 2009). The authors have integrated a fix in the last published release, but has not created a specific release number [3]. # Recommendations CERT-EU recommends updating all running Linux distributions that provided a backport of the fix [4, 5, 6, 7]: - Ubuntu 14.04, 16.04 ESM - Ubuntu 18.04, 20.04, and 21.04 - RedHat at Workstation and Enterprise products for supported architectures, as well as for extended life cycle support, TUS, and AUS. - Debian Stretch, Buster, Bellseye, unstable A reboot might be necessary. ## Workaround A temporary mitigation is available to prevent from the privilege escalation vulnerability: ``` chmod 0755 /usr/bin/pkexec ``` ## Analysis CERT-EU also recommends searching for exploitation attempts by checking the logs against the following strings: ``` ""The value for the SHELL variable was not found the /etc/shells file"" and/or ""The value for environment variable […] contains suspicious content."" ``` However, Qualys notes that exploiting PwnKit is possible without leaving a trace [2]. # References [1] <https://www.bleepingcomputer.com/news/security/linux-system-service-bug-gives-root-on-all-major-distros-exploit-released/> [2] <https://www.qualys.com/2022/01/25/cve-2021-4034/pwnkit.txt> [3] <https://gitlab.freedesktop.org/polkit/polkit/-/merge_requests/104/diffs> [4] <https://ubuntu.com/security/notices/USN-5252-2> [5] <https://ubuntu.com/security/notices/USN-5252-1> [6] <https://access.redhat.com/security/security-updates/#/?q=polkit&p=1&sort=portal_publication_date%20desc&rows=10&portal_advisory_type=Security%20Advisory&documentKind=PortalProduct> [7] <https://security-tracker.debian.org/tracker/CVE-2021-4034>"
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-008/markdown,"# Affected Products All versions of Samba prior to `4.13.17` are vulnerable when Samba has the VFS module `vfs_fruit` enabled in its default configuration. This means that the following options are configured as follows: `fruit:metadata=netatalk` or `fruit:resource=file`. If both options are set to different settings than the default values, the system is not affected by the security issue. # Recommendations Samba team and CERT-EU strongly recommend upgrading Samba to the latest version as soon as possible. ## Workaround As a temporary workaround, one can remove the `fruit` VFS module from the list of configured VFS objects in any `vfs objects` line in the Samba configuration `smb.conf`. Note that changing the VFS module settings `fruit:metadata` or `fruit:resource` to use the unaffected setting causes all stored information to be inaccessible. # References [1] <https://www.samba.org/samba/history/security.html> [2] <https://www.samba.org/samba/security/CVE-2021-44142.html>"
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-009/markdown,# Affected Products These vulnerabilities affect the following Cisco products: `CVE-2022-20700`: - RV160 VPN Routers - RV160W Wireless-AC VPN Routers - RV260 VPN Routers - RV260P VPN Routers with PoE - RV260W Wireless-AC VPN Routers `CVE-2022-20699` & `CVE-2022-20708`: - RV340 Dual WAN Gigabit VPN Routers - RV340W Dual WAN Gigabit Wireless-AC VPN Routers - RV345 Dual WAN Gigabit VPN Routers - RV345P Dual WAN Gigabit POE VPN Routers # Recommendations Cisco has released free software updates that address the vulnerabilities described in this advisory for the RV340 and RV345 Series. Cisco is working on fixes for the identified vulnerabilities for the RV160 and RV260 Series Routers as quickly as possible. Cisco and CERT-EU strongly recommend upgrading Cisco routers to the latest version as soon as possible. # References [1] <https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-smb-mult-vuln-KA9PK6D> [2] <https://twitter.com/RabbitPro/status/1489978906597859333> [3] <https://www.bleepingcomputer.com/news/security/cisco-fixes-critical-bugs-in-smb-routers-exploits-available/>
https://cow-prod-www-v3.azurewebsites.net/publications/security-advisories/2022-010/markdown,"# Affected Products **CVE-2022-22005** - Microsoft SharePoint Server Subscription Edition - Microsoft SharePoint Server 2019 - Microsoft SharePoint Enterprise Server 2013 Service Pack 1 - Microsoft SharePoint Enterprise Server 2016 **CVE-2022-21984** - Windows 10 Version 21H2 for 32-bit, x64 and AMR64 -based Systems - Windows 11 for x64 and ARM64-based Systems - Windows Server, version 20H2 (Server Core Installation) - Windows 10 Version 32-bit, x64 and AMR64 -based Systems - Windows Server 2022 Azure Edition Core Hotpatch - Windows Server 2022 (Server Core installation) - Windows Server 2022 - Windows 10 Version 21H1 for 32-bit, x64 and AMR64 -based Systems - Windows 10 Version 1909 for 32-bit, x64 and AMR64 -based Systems # Recommendations Microsoft recommends to apply the Security Updates detailed in [2] and [3]. # References [1] <https://msrc.microsoft.com/update-guide/en-us> [2] <https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-22005> [3] <https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-21984> [4] <https://www.zerodayinitiative.com/blog/2022/2/8/the-february-2022-security-update-review>"
